0x37e6072596a35B623e949690dE49430706ADD855,40835764.955375685006957343
0xA33BA7BF6f2343169de5a0496Cd76dA8839ea3e6,21526725.91309003625447748
0x90f64E01FfAE16490aeFe03C8ED7Dab6c66198C3,13754944.173182882531773874
0x0b5662cAd3cD33C5328B5FA133983814ddEdfbF3,13412510.3312530959031655
0x5A084AAEf5eDDD9195F28F6fe056785e01F210eB,2487647.666464877078298159
0xA7efbb4a06A680F3B65c5861Ec387408CeafbEc8,1925856.37922976343670617
0xCB43078C32423F5348Cab5885911C3B5faE217F9,1653363.59538472230396405
0xbAba775A0400A5E442335CEaa4820eDb1DeD8f73,1653128.040130302282796769
0x1439b4d5a72343b68F12398C649dF99d76b2AF53,1155977.986027912280088714
0x8a49240B6a8C8c0570E59A58482380EB323Bc7Bd,1088692.755723907070682436
0xeE49f82e58A1C2B306720D0c68047CBf70C11FB5,182386.540823713567454509
0xe588F6581329cE32E40641E20c61A96F296A763A,138369.096778836087068845
0x0aF44F107dcb69F228C14c28e124140ad77407b5,108877.15390063475821899
0x589FFBbdA0EaCD5A9C2BA208b379c886B2630503,29796.994967145666403289
0x420944b441715E34Dd672AE0Eb4526A7AD7d1EEF,29449.831382200295907071
0xF6eb526BFfA8d5036746Df58Fef23Fb091739c44,16508.586284285476036801
